title,street-address,latitude,longitude,number,type_of_place,distance
Consulado de Argentina,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,40.42821624776458,-3.6926659313220473,8,consulado,311.9001139109231
Consulado de Argentina,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,40.42821624776458,-3.6926659313220473,10,consulado,319.3811255516
Consulado de Argentina,CALLE FERNANDO EL SANTO 15 PLANTA BAJA,40.42821624776458,-3.6926659313220473,104,consulado,380.0258425515077
Consulado de Belice,CALLE TALAVERA 9,40.453375787625184,-3.6809775442454438,148,consulado,255.76551654772592
Consulado de Belice,CALLE TALAVERA 9,40.453375787625184,-3.6809775442454438,159,consulado,312.6027620662095
Consulado de Belice,CALLE TALAVERA 9,40.453375787625184,-3.6809775442454438,197,consulado,394.27088893706156
Consulado de Bolivia,CALLE AVIADOR LINDBERGH 3,40.44244658703542,-3.6796645119265317,146,consulado,220.77884425921926
Consulado de Bolivia,CALLE AVIADOR LINDBERGH 3,40.44244658703542,-3.6796645119265317,196,consulado,533.6066251773035
Consulado de Bolivia,CALLE AVIADOR LINDBERGH 3,40.44244658703542,-3.6796645119265317,140,consulado,558.6140486609512
Consulado de Brasil,CALLE GOYA 5 y 7 pasaje,40.42571641206772,-3.688867957275151,93,consulado,52.439373963638864
Consulado de Brasil,CALLE GOYA 5 y 7 pasaje,40.42571641206772,-3.688867957275151,104,consulado,141.64985143796721
Consulado de Brasil,CALLE GOYA 5 y 7 pasaje,40.42571641206772,-3.688867957275151,106A,consulado,147.60749201069927
Consulado de Bélgica,PASEO CASTELLANA 18 PLANTA 6 Izquierda,40.428625519984514,-3.6890037404933405,104,consulado,216.3270282884061
Consulado de Bélgica,PASEO CASTELLANA 18 PLANTA 6 Izquierda,40.428625519984514,-3.6890037404933405,105,consulado,236.7967821117334
Consulado de Bélgica,PASEO CASTELLANA 18 PLANTA 6 Izquierda,40.428625519984514,-3.6890037404933405,93,consulado,321.2985998082369
Consulado de Chile,CALLE RAFAEL CALVO 18 PLANTA 5,40.43387373574068,-3.6941977264344406,125,consulado,172.40063434707065
Consulado de Chile,CALLE RAFAEL CALVO 18 PLANTA 5,40.43387373574068,-3.6941977264344406,247,consulado,523.9140628883374
Consulado de Chile,CALLE RAFAEL CALVO 18 PLANTA 5,40.43387373574068,-3.6941977264344406,122,consulado,540.0406853334919
Consulado de Colombia,CALLE ALFONSO XI 6,40.418660732315,-3.690646590927509,65,consulado,257.18864309012383
Consulado de Colombia,CALLE ALFONSO XI 6,40.418660732315,-3.690646590927509,60,consulado,278.7003102221015
Consulado de Colombia,CALLE ALFONSO XI 6,40.418660732315,-3.690646590927509,86,consulado,301.54739270170205
Consulado de Costa Rica,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,40.441550649362455,-3.695491196074582,134,consulado,293.0259214512717
Consulado de Costa Rica,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,40.441550649362455,-3.695491196074582,135,consulado,307.66642504405394
Consulado de Costa Rica,CALLE RIOS ROSAS 54 PLANTA Bajo Derecha,40.441550649362455,-3.695491196074582,247,consulado,463.4864226407781
Consulado de Cuba,PASEO LA HABANA 194 Entrada por calle Macarena,40.46201039787292,-3.680298066003204,290,consulado,266.5192373383566
Consulado de Cuba,PASEO LA HABANA 194 Entrada por calle Macarena,40.46201039787292,-3.680298066003204,254,consulado,431.88223067626967
Consulado de Cuba,PASEO LA HABANA 194 Entrada por calle Macarena,40.46201039787292,-3.680298066003204,255,consulado,584.8398661593218
Consulado de Ecuador,CALLE ALENZA 1,40.44258652423883,-3.7007870509139242,130,consulado,148.69877968455137
Consulado de Ecuador,CALLE ALENZA 1,40.44258652423883,-3.7007870509139242,131,consulado,372.6422286451238
Consulado de Ecuador,CALLE ALENZA 1,40.44258652423883,-3.7007870509139242,133,consulado,509.9351113407207
Consulado de El Salvador,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,40.43642084178578,-3.687067152583129,141,consulado,282.9030513501236
Consulado de El Salvador,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,40.43642084178578,-3.687067152583129,142,consulado,348.4052941514271
Consulado de El Salvador,CALLE GENERAL ORAA 9 PLANTA 5 Interior Izquierda,40.43642084178578,-3.687067152583129,190,consulado,474.40697535851194
Consulado de Etiopía,CALLE VELAZQUEZ 3 PLANTA 4,40.42148926032306,-3.6846401694200934,102,consulado,56.80763250489319
Consulado de Etiopía,CALLE VELAZQUEZ 3 PLANTA 4,40.42148926032306,-3.6846401694200934,96,consulado,277.9016033102922
Consulado de Etiopía,CALLE VELAZQUEZ 3 PLANTA 4,40.42148926032306,-3.6846401694200934,95,consulado,280.997593676709
Consulado de Francia,CALLE MARQUES DE LA ENSENADA 10 C,40.424488220772155,-3.692380132628246,10,consulado,106.38951058709964
Consulado de Francia,CALLE MARQUES DE LA ENSENADA 10 C,40.424488220772155,-3.692380132628246,94,consulado,230.0065043117107
Consulado de Francia,CALLE MARQUES DE LA ENSENADA 10 C,40.424488220772155,-3.692380132628246,26,consulado,245.37217484577025
Consulado de Gambia,CALLE ALFONSO XII 46,40.4126161626266,-3.6890525764985806,68,consulado,253.8620770258948
Consulado de Gambia,CALLE ALFONSO XII 46,40.4126161626266,-3.6890525764985806,69,consulado,313.6596068959931
Consulado de Gambia,CALLE ALFONSO XII 46,40.4126161626266,-3.6890525764985806,283,consulado,429.59570995471825
Consulado de Islandia,CALLE POLLENSA 2 PLANTA 2 Oficina 17,,,2,consulado,
Consulado de Islandia,CALLE POLLENSA 2 PLANTA 2 Oficina 17,,,3,consulado,
Consulado de Islandia,CALLE POLLENSA 2 PLANTA 2 Oficina 17,,,5,consulado,
Consulado de Jamaica,CALLE JUAN DE MENA 6 PLANTA Bajo A,40.4172349956707,-3.691032771246455,65,consulado,188.94848445324814
Consulado de Jamaica,CALLE JUAN DE MENA 6 PLANTA Bajo A,40.4172349956707,-3.691032771246455,283,consulado,245.73830310623472
Consulado de Jamaica,CALLE JUAN DE MENA 6 PLANTA Bajo A,40.4172349956707,-3.691032771246455,86,consulado,302.7756283193919
Consulado de Macedonia del Norte,CALLE CAPITAN HAYA 60 PLANTA 6,40.46310214118726,-3.691439378838705,299,consulado,129.44161209565095
Consulado de Macedonia del Norte,CALLE CAPITAN HAYA 60 PLANTA 6,40.46310214118726,-3.691439378838705,209,consulado,420.72699653801055
Consulado de Macedonia del Norte,CALLE CAPITAN HAYA 60 PLANTA 6,40.46310214118726,-3.691439378838705,156,consulado,430.603719084309
Consulado de Mali,CALLE ZURBANO 29 PLANTA 2 Izquierda,40.4313099318025,-3.693570096673511,122,consulado,369.12507526065804
Consulado de Mali,CALLE ZURBANO 29 PLANTA 2 Izquierda,40.4313099318025,-3.693570096673511,8,consulado,436.2497277206466
Consulado de Mali,CALLE ZURBANO 29 PLANTA 2 Izquierda,40.4313099318025,-3.693570096673511,125,consulado,464.878672955283
Consulado de Marruecos,CALLE LEIZARAN 31,40.44778292174744,-3.6806852423855867,147,consulado,158.975254896411
Consulado de Marruecos,CALLE LEIZARAN 31,40.44778292174744,-3.6806852423855867,148,consulado,379.54749644158176
Consulado de Marruecos,CALLE LEIZARAN 31,40.44778292174744,-3.6806852423855867,146,consulado,442.97600629814116
Consulado de Mónaco,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,40.454801307058105,-3.6459264433419185,526,consulado,348.51163280465124
Consulado de Mónaco,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,40.454801307058105,-3.6459264433419185,481,consulado,806.7695607686377
Consulado de Mónaco,AVENIDA MADRO&amp;Ntilde;OS 21 PLANTA 4 B,40.454801307058105,-3.6459264433419185,546,consulado,905.9663100162649
Consulado de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635,523,consulado,430.6920333857455
Consulado de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635,479,consulado,632.2944523506827
Consulado de Nicaragua,CALLE PUERTO DE SANTA MARIA 73 B,40.45931841429917,-3.6524238447949635,546,consulado,747.6859659670243
Consulado de Panamá,CALLE CARACAS 23 PLANTA BAJO,40.43073323148883,-3.6939542885166206,122,consulado,300.2122091590098
Consulado de Panamá,CALLE CARACAS 23 PLANTA BAJO,40.43073323148883,-3.6939542885166206,8,consulado,359.4403360470717
