name_x,address_x,number,distancia,name_y,address_y,activate,no_available,total_bases,dock_bikes,free_bases,longitude,latitude
Metro Callao,"Calle Miguel Moya nº 1,",2,101,Metro Callao,"Calle Miguel Moya nº 1,",1,1,27,0,0,-3.70569,40.4204
Metro Callao,"Calle Miguel Moya nº 1,",22,101,Jacometrezo,"Calle Jacometrezo nº 3,",1,1,3,0,0,-3.7065376,40.4200783
Plaza Conde Suchil,"Plaza Conde Surchill, 4 ,",3,241,Plaza Conde Suchil,"Plaza Conde Surchill, 4 ,",1,0,19,11,8,-3.7072537,40.4303223
Plaza Conde Suchil,"Plaza Conde Surchill, 4 ,",12,241,San Hermenegildo,"Calle San Bernardo nº 85 - 87,",1,0,27,22,5,-3.7061406,40.4284667
Fuencarral,"Calle Fuencarral nº 106,",5,42,Fuencarral,"Calle Fuencarral nº 106,",1,0,27,23,4,-3.7021354,40.4285212
Fuencarral,"Calle Fuencarral nº 106,",4,42,Malasaña,"Calle Manuela Malasaña nº 3,",1,0,27,11,16,-3.7025,40.4286259
Colegio Arquitectos,"Calle Hortaleza nº 63,",6,138,Colegio Arquitectos,"Calle Hortaleza nº 63,",1,0,19,2,17,-3.698447,40.424148
Colegio Arquitectos,"Calle Hortaleza nº 63,",7,138,Hortaleza,"Calle Hortaleza nº 75,",1,0,19,7,12,-3.6977715,40.4251906
Hortaleza,"Calle Hortaleza nº 75,",7,138,Hortaleza,"Calle Hortaleza nº 75,",1,0,19,7,12,-3.6977715,40.4251906
Hortaleza,"Calle Hortaleza nº 75,",6,138,Colegio Arquitectos,"Calle Hortaleza nº 63,",1,0,19,2,17,-3.698447,40.424148
Metro Alonso Martínez,"Plaza de Alonso Martínez nº 6,",8,212,Metro Alonso Martínez,"Plaza de Alonso Martínez nº 6,",1,0,24,14,10,-3.6954403,40.4278682
Metro Alonso Martínez,"Plaza de Alonso Martínez nº 6,",122,212,Santa Engracia,"Calle Santa Engracia nº 14,",1,0,23,5,18,-3.6963659,40.4295362
Plaza de San Miguel,"Plaza de San Miguel nº 10,",9,182,Plaza de San Miguel,"Plaza de San Miguel nº 10,",1,0,24,11,13,-3.7095084,40.4156057
Plaza de San Miguel,"Plaza de San Miguel nº 10,",35,182,Plaza del Cordón,"Plaza del Cordón nº1,",1,0,24,16,8,-3.7103285,40.4141931
Marqués de la Ensenada,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",10,286,Marqués de la Ensenada,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",1,0,23,14,9,-3.692104,40.425403
Marqués de la Ensenada,"Calle Marqués de la Ensenada (junto a edif, Centro Colón),",94,286,Estación de tren de Recoletos,"Paseo de Recoletos nº 20,",1,0,23,22,1,-3.690756,40.4232153
Plaza del Dos de Mayo,"Calle San Andrés nº 18 - 20,",11,181,Plaza del Dos de Mayo,"Calle San Andrés nº 18 - 20,",1,0,23,0,23,-3.7036,40.427
Plaza del Dos de Mayo,"Calle San Andrés nº 18 - 20,",59,181,Plaza de Juan Pujol,"Calle Espíritu Santo nº 30,",1,0,19,0,19,-3.7043418,40.4255495
San Hermenegildo,"Calle San Bernardo nº 85 - 87,",12,241,San Hermenegildo,"Calle San Bernardo nº 85 - 87,",1,0,27,22,5,-3.7061406,40.4284667
San Hermenegildo,"Calle San Bernardo nº 85 - 87,",3,241,Plaza Conde Suchil,"Plaza Conde Surchill, 4 ,",1,0,19,11,8,-3.7072537,40.4303223
Conde Duque,"Calle Conde Duque nº 22,",13,343,Conde Duque,"Calle Conde Duque nº 22,",1,0,23,12,11,-3.7105,40.4273
Conde Duque,"Calle Conde Duque nº 22,",14,343,Ventura Rodríguez,"Ventura Rodríguez, 3,",1,0,27,3,24,-3.7133069,40.4260425
Ventura Rodríguez,"Ventura Rodríguez, 3,",14,265,Ventura Rodríguez,"Ventura Rodríguez, 3,",1,0,27,3,24,-3.7133069,40.4260425
Ventura Rodríguez,"Ventura Rodríguez, 3,",116A,265,Plaza de España,"Plaza de España nº16,",1,0,18,6,12,-3.713043,40.423679
